	MeSH Disease Term	PubMed occurrence
3277	Ногти, Вросшие	195
3278	Нефрогенная фиброзирующая дермопатия	195
3279	Однородительская дисомия	195
3280	Выберите болезнь мозга	194
3281	Гипоальбуминемия	194
3282	Травмы нижней челюсти	194
3283	Поджигающее поведение	194
3284	Лентивирусные инфекции	193
3285	Лимфома, Крупноклеточная, Иммунобластная	193
3286	Реактивное расстройство привязанности	193
3287	Трепонемные инфекции	192
3288	цементом	192
3289	Танатофорная дисплазия	192
3290	Слуховые болезни, центральные	192
3291	Почечная аминоацидурия	192
3292	Дефицит IgG	192
3293	Пастереллез, пневмония	191
3294	Заболевания, передающиеся половым путем, вирусные	191
3295	Карцинома, островковая клетка	191
3296	Кальцинирование пульпы зуба	191
3297	Грыжа, запирательная	191
3298	Болезнь сердца	190
3299	Туберкулез, птичий	190
3300	Платибазия	190
3301	Лобно-височная долевая дегенерация	190
3302	Отек, Сердечный	190
3303	Пузырчатка доброкачественная семейная	190
3304	Синдром дефицита лейкоцитов-адгезии	190
3305	Рабдовирусные инфекции	189
3306	Цистаденома, папиллярная	189
3307	Аденокарцинома, сальная	189
3308	остеопойкилоз	189
3309	Альбинизм, Окуляр	189
3310	Ихтиозиформная эритродермия, врожденная	189
3311	Переломы	189
